id,adresse,ort,plz,typ,min_vorlauf_temp,max_vorlauf_temp,source,primary_energy,Building ID,Creation Date,Country,postal_code,Function,Height (m),Storeys Above Ground,ground_surface,heated_area
33920b20-2ae7-4e6b-912b-5fc4294d6ed5,Am Kielortplatz 1,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0005vC5p,2023-08-15,Deutschland,22850,31001_1010,26.345,8,547.960037002189,4619.522295943254
a0bb40c4-7d73-4c5d-91bd-d82fe748a75d,Friedrichsgaber Weg 424,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0000Z7oH,2023-08-15,Deutschland,22846,31001_1010,18.084,4,228.88618079882758,1324.5368619411195
9500b2eb-c260-4200-b657-125604911644,Friedrichsgaber Weg 432 A,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0000Z7oK,2023-08-15,Deutschland,22846,31001_1010,9.987,2,715.7584734936179,2287.449559929844
4ccc1cea-534d-4dbe-bf66-0d31d887088e,Friedrichsgaber Weg 453,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0000Z6T7,2023-08-15,Deutschland,22846,31001_1010,25.786,4,225.7780838973932,1863.0123748410183
cae17ef4-cfad-4446-8b09-3cf946bf1378,Hasenstieg 13,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0000Z7pB,2023-08-15,Deutschland,22846,31001_3021,8.586,1,1714.1421299993767,4709.639785015887
10af300b-a270-4e41-928d-e4048b2fdf00,Heidehofweg 120,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00012ISh,2023-08-15,Deutschland,22850,31001_1010,12.466,4,219.80691200326214,876.836148810453
7d201def-a050-4a5d-9e4f-e3a4537ae209,Heidehofweg 122a,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00012IT8,2023-08-15,Deutschland,22850,31001_1010,15.527,3,205.60189699926016,1021.561809506404
e7ad9b75-bc6c-4891-a8fd-45e393ec8526,Heidehofweg 122a+b +124,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00012IT8,2023-08-15,Deutschland,22850,31001_1010,15.527,3,616.8056909977805,3064.6854285192126
573a7d1e-de3f-49e1-828b-07d463d1fa4d,Heidehofweg 99a+b,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00012ISj,2023-08-15,Deutschland,22850,31001_1010,14.216,3,423.83089350397904,1928.0575942568212
fb684f25-a63d-4d3e-9277-6d759bbc7507,Heidehofweg 99c,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00012ISk,2023-08-15,Deutschland,22850,31001_1010,11.602,3,180.33756950022362,669.5284740293104
