id,adresse,ort,plz,typ,min_vorlauf_temp,max_vorlauf_temp,source,primary_energy,Building ID,Creation Date,Country,postal_code,Function,Height (m),Storeys Above Ground,ground_surface
d566a120-d232-489a-aa42-850e5a44dbee,Moorbekstraße 39,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0006Yd0h,2023-08-15,Deutschland,22846,31001_1010,10.975,2,609.610111500941
35d897c4-9486-41c1-be9b-0e1707d9fbef,Moorbekstraße 43-49,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
f1c2b8a6-9833-4150-896c-20b054ce558f,Norderstraße 41,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0000Z7ih,2023-08-15,Deutschland,22846,31001_1010,6.812,2,178.1922280029735
4edd9f9b-22a0-4932-a815-60c9a222826d,Oadby-and-Wigston-Straße 175,Norderstedt,22844,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
1a94c658-a524-4293-bb95-020c53beaabd,Röntgengang 14,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
c1469372-a3c4-4870-808c-8039cb927db8,Röntgengang 16,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0007aem1,2023-08-15,Deutschland,24635,31001_1010,11.636,3,303.14687299988304
d20aea60-cca7-4d9e-b768-48edd962eb64,Segeberger Chaussee 104,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
561a9d67-5802-4a54-ae7d-0a782242e4b4,Segeberger Chaussee 104b,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
b6b63b91-da14-449d-b213-e6ef5ca27e67,Segeberger Chaussee 132,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00014I3x,2023-08-15,Deutschland,22850,31001_2120,4.305,1,421.96932449959314
a141529b-2b91-4c85-ae9f-907901ebeb19,Ulzburger Straße 457,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0006FU8b,2023-08-15,Deutschland,22846,31001_1010,10.031,3,320.6536745005763
bc098a2e-0cc7-4f01-b6ad-9d647ae9f627,Ulzburger Straße 459 A,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
8e9b1544-434e-44a7-8049-8f2e4b14a819,Ulzburger Straße 461,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0006FU6t,2023-08-15,Deutschland,22846,31001_1010,13.537,4,653.0092294984444
882f402f-daf8-4dfb-8af0-6fbd5d439e22,Waldstraße 63,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0000Z7iw,2023-08-15,Deutschland,22846,31001_1010,20.688,5,1149.858408990564
82a01deb-7c9d-4e87-a79a-4693bd668282,Waldstraße 81,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
